Description	Units	North East	North West	Yorks. & The Humber	East Midlands	West Midlands	East	London	South East	South West	England	Wales	Scotland 	Northern Ireland
Milk and milk products excluding cheese	ml	1821	1819	1851	1924	1827	1846	1575	1768	1967	1805	1883	1678	2003
Cheese	g	110	111	122	127	110	135	109	136	142	123	106	123	92
Carcase meat	g	181	167	181	243	179	200	169	186	177	185	155	155	240
Non-carcase meat and meat products	g	843	830	794	784	775	800	607	717	787	757	813	781	917
Fish	g	124	127	152	142	134	155	146	156	140	143	119	128	129
Eggs	no.	2	2	2	2	2	2	2	2	2	2	2	2	2
Fats	g	151	163	146	168	157	153	158	151	153	155	146	129	163
Sugar and preserves	g	101	95	102	138	110	107	97	102	110	105	109	94	95
Fresh and processed potatoes	g	686	669	663	731	701	663	510	652	664	649	687	615	1063
Fresh and processed vegetables, excluding potatoes	g	966	1028	1131	1240	1083	1204	1164	1217	1274	1156	1077	957	917
Fresh and processed fruit	g	877	1013	1042	1137	1031	1146	1222	1193	1259	1124	996	1039	957
Bread	g	542	564	515	578	557	527	444	520	537	526	595	545	638
Flour	g	34	48	49	113	97	52	108	57	61	70	36	32	30
Cakes, buns and pastries	g	145	150	152	173	156	164	133	157	172	155	143	140	192
Biscuits and crispbreads	g	181	155	167	174	179	165	139	164	177	164	171	163	181
Other cereals and cereal products	g	561	551	571	567	560	591	614	570	571	575	504	559	546
Beverages	g	53	55	49	61	52	58	42	51	62	53	47	47	58
Other food and drink	g	743	840	779	816	827	860	1022	829	832	852	885	876	872
Soft drinks	ml	1703	1562	1508	1637	1692	1677	999	1504	1453	1494	1664	1974	1660
Confectionery	g	153	135	130	143	136	146	90	129	139	130	140	154	158
Alcoholic drinks	ml	823	883	785	802	662	761	425	690	737	710	708	662	668
